Day	Time	Rs	Rn	PAR	Tair	RH	u	SatVapPr	VapPress	Battery	!water
50	550	-0,09121	-1,3592	0	19,22	100,87	0,04786	2,2265	2,2459	12,653	0,0445
117	1700	117,44	57,904	272,5	16,429	76,939	0,76126	1,8676	1,4368	12,462	0,4295
69	1150	148,99	98,238	316,34	18,584	97,354	1,5442	2,1398	2,0832	12,594	0,083
90	1000	360,38	190,56	789,18	15,529	74,689	0,38789	1,7643	1,3161	12,519	0,4495
111	400	-0,01342	-23,245	0,01218	13,156	99,955	0,06825	1,5122	1,5115	12,478	0,075
88	250	-0,2201	-17,054	-0,05479	14,835	99,539	0,13125	1,6862	1,6785	12,549	0,074
107	1250	292,32	189,63	587,44	18,823	69,829	0,41476	2,172	1,5168	12,482	0,716
80	200	-0,38128	-15,257	-1,9243	12,225	99,457	0,01636	1,4225	1,4148	12,565	0,0855
94	1600	393,64	253,9	823,59	20,263	59,826	0,64082	2,3762	1,4205	12,527	0,6035
46	100	-0,6223	-3,2637	-0,85774	19,432	100,56	0,23317	2,2565	2,2693	12,672	0,087
67	1100	244,18	163,24	523,68	21,7	82,759	0,64175	2,5952	2,1469	12,6	0,7405
48	1850	88,081	51,155	191,99	21,799	101,44	0,18776	2,6107	2,6484	12,657	0,0855
119	100	0	-41,474	-0,00609	16,112	82,396	0,52408	1,8302	1,508	12,464	0,1335
116	900	48,177	26,541	106,43	12,232	100,1	0,04138	1,4232	1,4246	12,459	0,1315
57	1000	153,08	100,43	316,43	20,974	86,548	0,45923	2,4824	2,1481	12,626	0,822
79	1050	188,73	124,21	381,25	17,113	102,12	0,69456	1,9507	1,9921	12,567	0,105
107	1450	351,3	229,56	721,51	20,092	62,866	0,66491	2,3509	1,4775	12,481	0,5975
109	1650	74,109	49,922	160,11	17,999	100,37	0,51853	2,0627	2,0704	12,489	0,079
105	1700	163,38	103,41	337,14	18,995	72,898	0,44719	2,1956	1,6002	12,494	0,2955
58	1100	424,83	266,79	903,62	23,582	78,692	1,2996	2,9099	2,2886	12,625	0,9815
42	200	-0,29238	-0,93987	-1,2167	20,457	101,32	0,563	2,4041	2,4358	12,672	0,033
48	2300	-0,0456	-4,5904	-0,06691	20	102,03	0,084	2,3371	2,3846	12,659	0,054
107	850	12,971	5,5178	29,093	12,227	99,515	0,02377	1,4227	1,4159	12,478	0,0955
54	2150	-0,20647	-7,4577	-0,61421	19,98	89,236	0,29338	2,3343	2,0829	12,644	0,0905
35	800	146,9	46,686	324,46	11,23	98,68	0,05713	1,3349	1,3181	12,67	0,427
114	500	-0,01075	-25,427	0,46303	7,7586	99,393	0,10901	1,0546	1,0482	12,467	0,067
